code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002130,2024-04-23,2023-12-31,2.438053,147.658786,5.316579,67.712448,1.293266,0.660520
sz.002131,2024-04-29,2023-12-31,3.300941,109.059809,22.414129,16.061319,1.556030,0.928796
sz.002132,2024-04-27,2023-12-31,3.098122,116.199421,4.794160,75.090735,1.375921,0.545628
sz.002133,2024-04-30,2023-12-31,52.631967,6.839950,0.734824,489.929232,0.615739,0.541268
sz.002134,2024-04-17,2023-12-31,2.737572,131.503389,5.168059,69.658095,1.342363,0.571230
sz.002135,2024-04-23,2023-12-31,2.712270,132.730160,1.497301,240.432779,0.885764,0.723673
sz.002136,2024-04-23,2023-12-31,9.867053,36.485058,11.211995,32.108455,1.867392,1.076297
sz.002137,2024-04-23,2023-12-31,3.932264,91.550306,3.494500,103.019030,0.686432,0.310497
sz.002138,2024-02-29,2023-12-31,2.769293,129.997072,3.632573,99.102571,1.215289,0.428847
sz.002139,2024-03-27,2023-12-31,3.535074,101.836611,3.831515,93.957980,1.303180,0.834607
sz.002140,2024-03-30,2023-12-31,6.415751,56.111905,3.183474,113.083085,0.872570,0.579517
sz.002141,2024-04-26,2023-12-31,3.153810,114.147650,1.881334,191.357040,0.116998,0.069435
sz.002142,2024-04-10,2023-12-31,,,,,,0.024257
sz.002144,2024-04-26,2023-12-31,4.311051,83.506320,3.429834,104.962388,0.647759,0.246871
sz.002145,2024-04-18,2023-12-31,5.758666,62.514479,4.561005,78.930059,0.627892,0.327414
sz.002146,2024-04-29,2023-12-31,11.435942,31.479698,0.318505,1130.298273,0.287136,0.258924
sz.002147,2024-04-29,2023-12-31,4.029945,89.331240,0.474267,759.013283,0.362336,0.187344
sz.002148,2024-03-29,2023-12-31,17.712110,20.325077,99.391974,3.622022,0.386456,0.198564
sz.002149,2024-04-02,2023-12-31,1.965105,183.196348,1.633279,220.412661,0.781064,0.497932
sz.002150,2024-04-25,2023-12-31,5.304753,67.863675,3.101673,116.065383,1.155350,0.797710
sz.002151,2024-03-28,2023-12-31,3.572266,100.776370,3.401772,105.826327,1.034333,0.578972
sz.002152,2024-03-30,2023-12-31,3.949938,91.140667,2.330114,154.499807,0.551188,0.390330
sz.002153,2024-04-30,2023-12-31,4.720135,76.269010,4.736949,75.999071,0.472743,0.285148
sz.002154,2024-04-12,2023-12-31,8.210310,43.847310,1.527665,235.648360,1.277286,0.805425
sz.002155,2024-03-26,2023-12-31,297.301850,1.210891,66.709633,5.396525,14.682316,3.127521
sz.002156,2024-04-13,2023-12-31,5.155097,69.833793,5.943916,60.566295,1.759193,0.631689
sz.002157,2024-04-30,2023-12-31,44.876866,8.021951,4.452881,80.846190,1.642061,0.341447
sz.002158,2024-04-27,2023-12-31,5.577153,64.549060,2.195300,163.986699,0.869254,0.635224
sz.002159,2024-04-24,2023-12-31,71.173272,5.058079,35.482577,10.145818,2.653054,0.402944
sz.002160,2024-04-12,2023-12-31,4.147812,86.792737,2.767719,130.071901,1.268198,0.845758
sz.002161,2024-04-03,2023-12-31,3.148225,114.350156,1.883481,191.133528,0.566499,0.218121
sz.002162,2024-03-30,2023-12-31,5.285510,68.110735,4.580802,78.588893,1.396858,0.527158
sz.002163,2024-04-19,2023-12-31,5.217768,68.995021,2.744712,131.161876,1.164696,0.660042
sz.002164,2024-04-26,2023-12-31,4.218458,85.339246,2.419574,148.784923,1.318569,0.642283
sz.002165,2024-04-20,2023-12-31,5.448175,66.077179,6.827736,52.726394,0.937996,0.505037
