code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600209,2024-04-29,2023-12-31,-1.023312,1.598868,0.117384,0.997420,-5.466480,0.999833,1.000493,-5.464700
sh.600210,2024-03-30,2023-12-31,0.099212,2.284713,0.707422,0.910441,0.067422,0.830613,0.907986,0.089398
sh.600211,2024-03-27,2023-12-31,0.252005,1.366633,0.721633,0.988484,0.258507,0.902081,1.039566,0.275660
sh.600212,2024-04-13,2023-12-31,0.047451,2.513703,0.705218,1.059227,0.025271,1.139726,0.964860,0.022980
sh.600213,2024-04-30,2023-12-31,,-271.741289,0.461921,1.002465,-0.277939,1.000000,1.054609,-0.263547
sh.600215,2024-04-26,2023-12-31,0.067232,2.092190,0.566454,1.000000,0.056730,1.593185,0.738568,0.048212
sh.600216,2024-04-26,2023-12-31,0.045487,1.334640,0.618285,1.552199,0.035513,0.761933,0.968479,0.048126
sh.600217,2024-04-30,2023-12-31,0.025745,2.895095,0.497224,0.998758,0.017907,1.266468,0.265348,0.053286
sh.600218,2024-03-30,2023-12-31,0.031065,1.867745,0.824446,1.066595,0.018914,1.125948,1.376731,0.012202
sh.600219,2024-02-29,2023-12-31,0.074352,1.429068,0.431980,0.867911,0.138772,0.916323,1.009931,0.149955
sh.600220,2024-04-30,2023-12-31,-0.048534,2.135099,0.390006,1.044292,-0.055813,1.156662,187.906686,-0.000257
sh.600221,2024-04-27,2023-12-31,0.178943,78.331094,0.430948,1.365023,0.003883,-0.428918,-0.160342,0.056467
sh.600222,2024-03-28,2023-12-31,0.027664,2.279168,0.576814,0.971613,0.021658,1.043452,0.459451,0.045175
sh.600223,2024-03-22,2023-12-31,0.078481,8.574257,0.138139,0.828610,0.079965,0.886617,0.892374,0.101069
sh.600225,2024-04-30,2023-12-31,-0.053884,3.139810,0.087840,0.814986,-0.239726,0.911875,3.047423,-0.086268
sh.600226,2024-04-23,2023-12-31,0.052228,1.202569,0.169765,1.081650,0.236516,0.898897,1.017802,0.258516
sh.600227,2024-04-27,2023-12-31,-0.043607,1.709770,0.480219,0.962068,-0.055205,0.849560,1.343623,-0.048362
sh.600228,2024-04-27,2023-12-31,0.019484,1.153157,0.200920,1.000000,0.084093,0.803860,1.260746,0.082976
sh.600229,2024-04-27,2023-12-31,0.130044,1.357901,0.632219,0.999680,0.151528,1.162184,1.035562,0.125905
sh.600230,2024-04-27,2023-12-31,0.047990,1.696143,0.723228,0.983807,0.039765,0.970583,0.870590,0.047061
sh.600231,2024-04-25,2023-12-31,-0.087504,2.125337,1.228249,1.000000,-0.033521,0.743502,0.996911,-0.045225
sh.600232,2024-04-02,2023-12-31,0.033852,1.623006,0.808766,0.790380,0.032629,0.786211,0.900376,0.046093
sh.600233,2024-04-26,2023-12-31,0.134214,1.489482,1.396304,0.992182,0.065041,0.796159,1.026959,0.079550
sh.600234,2024-04-29,2023-12-31,-0.331832,1.471831,0.092617,0.999546,-2.435388,0.980901,0.989500,-2.509154
sh.600235,2024-03-29,2023-12-31,0.032720,1.603654,0.706426,1.000000,0.028882,1.000000,0.737370,0.039169
sh.600236,2024-04-25,2023-12-31,0.065895,2.486256,0.174919,0.875405,0.173086,0.886446,0.735667,0.265417
sh.600237,2024-03-19,2023-12-31,0.059160,1.475252,0.500758,1.029001,0.077825,0.973255,0.983496,0.081306
sh.600238,2024-04-27,2023-12-31,-0.481342,3.593744,0.201613,0.971376,-0.683912,1.069743,1.157062,-0.552541
sh.600239,2024-04-09,2023-12-31,-0.053394,9.092238,0.151096,1.032553,-0.037641,-14.829305,0.020690,0.122684
sh.600241,2024-04-19,2023-12-31,0.054629,1.218469,0.483572,0.853939,0.108573,0.989967,1.122868,0.097672
sh.600243,2024-04-16,2023-12-31,-0.196425,1.516525,0.289568,0.954305,-0.468716,1.135862,1.029172,-0.400956
sh.600246,2024-03-30,2023-12-31,-0.066953,1.574545,0.053097,1.008750,-0.793889,1.051345,1.230359,-0.613738
sh.600248,2024-04-30,2023-12-31,0.162809,13.467062,0.550933,0.834741,0.026288,0.856522,0.757000,0.040543
sh.600249,2024-03-29,2023-12-31,0.010817,1.208977,0.390393,0.925715,0.024757,0.813274,-5.058566,-0.006018
sh.600250,2024-04-30,2023-12-31,0.060922,3.012186,0.507186,0.372485,0.107058,0.686221,0.884527,0.176377
sh.600251,2024-03-28,2023-12-31,0.207179,2.131340,0.590832,0.838708,0.196163,0.935732,0.985292,0.212765
sh.600252,2024-03-30,2023-12-31,0.012884,1.789374,0.264460,2.768373,0.009835,0.368333,105.949834,0.000252
sh.600255,2024-03-30,2023-12-31,-0.044131,2.774488,0.830811,0.948521,-0.020184,1.036950,1.470174,-0.013240
sh.600256,2024-04-20,2023-12-31,0.178901,2.077295,1.023401,1.050690,0.080093,0.761105,0.877295,0.119951
sh.600257,2024-04-18,2023-12-31,-0.009293,2.414444,0.563020,-0.668850,0.010221,0.435948,0.411843,0.056927
sh.600258,2024-03-29,2023-12-31,0.073537,2.344089,0.307484,0.980513,0.104053,0.732202,0.737239,0.192759
sh.600259,2024-03-29,2023-12-31,0.057366,2.115365,2.774146,0.950735,0.010282,0.728780,0.795319,0.017740
sh.600261,2024-04-23,2023-12-31,0.059875,1.522670,0.561566,0.982868,0.071244,0.840675,1.036964,0.081725
sh.600262,2024-04-16,2023-12-31,0.098702,2.103481,0.795803,0.845345,0.069751,0.832418,1.042452,0.080381
sh.600265,2024-04-24,2023-12-31,0.039795,4.545957,0.816515,0.221398,0.048425,1.048999,0.570277,0.080948
sh.600266,2024-04-13,2023-12-31,0.023374,5.796507,0.146921,6.138495,0.004471,0.160380,0.638183,0.043685
sh.600267,2024-04-30,2023-12-31,-0.011516,2.248997,0.570087,0.960381,-0.009353,1.170735,-0.757671,0.010544
sh.600268,2024-03-29,2023-12-31,0.076472,3.226535,0.796413,0.553700,0.053747,0.841706,0.965605,0.066129
sh.600269,2024-03-26,2023-12-31,0.068269,2.043602,0.212592,0.967923,0.162345,0.722984,0.816594,0.274982
